Jahr	Altersquote	20-64 Jährige	0 -19 jährige
2006	4.412959119213	11081	489
2006	10.504833512352	4655	489
2006	30	1630	489
2006	4.334722099104	11281	489
2006	19.749596122778	2476	489
2006	10.477823012641	4667	489
2006	32.341269841269	1512	489
2006	15.964740450538	3063	489
2006	7.342342342342	6660	489
2006	9.396617986164	5204	489
2006	3.821208095647	12797	489
2006	14.917632702867	3278	489
2006	41.566892243623	7684	3194
2006	76.594724220623	4170	3194
2006	32.269145281875	9898	3194
2006	27.227005370386	11731	3194
2006	56.782222222222	5625	3194
2006	68.058810995099	4693	3194
2006	208.621815806662	1531	3194
2006	91.597361628907	3487	3194
2006	442.995839112343	721	3194
2006	28.82411334717	11081	3194
2006	68.614393125671	4655	3194
2006	195.950920245398	1630	3194
2006	28.313092810921	11281	3194
2006	128.998384491114	2476	3194
2006	68.43796871652	4667	3194
2006	211.243386243386	1512	3194
2006	104.276852758733	3063	3194
2006	47.957957957957	6660	3194
2006	61.375864719446	5204	3194
2006	24.958974759709	12797	3194
2006	97.437461866992	3278	3194
2006	6.311816762103	7684	485
2006	11.630695443645	4170	485
2006	4.899979793897	9898	485
2006	4.134344898133	11731	485
2006	8.622222222222	5625	485
2006	10.334540805454	4693	485
2006	31.678641410842	1531	485
2006	13.908804129624	3487	485
2006	67.267683772538	721	485
2006	4.376861294107	11081	485
2006	10.418904403866	4655	485
2006	29.754601226993	1630	485
2006	4.299264249623	11281	485
2006	19.588045234248	2476	485
2006	10.392114848939	4667	485
2006	32.076719576719	1512	485
2006	15.834149526607	3063	485
2006	7.282282282282	6660	485
2006	9.319754035357	5204	485
2006	3.789950769711	12797	485
2006	14.795607077486	3278	485
2006	19.84643414888	7684	1525
2006	36.570743405275	4170	1525
2006	15.407152960193	9898	1525
2006	12.999744267325	11731	1525
2006	27.111111111111	5625	1525
2006	32.495205625399	4693	1525
2006	99.608099281515	1531	1525
2006	43.733868655004	3487	1525
2006	211.511789181692	721	1525
2006	13.762295821676	11081	1525
2006	32.760472610096	4655	1525
2006	93.558282208588	1630	1525
2006	13.518305114794	11281	1525
2006	61.591276252019	2476	1525
2006	32.676237411613	4667	1525
2006	100.859788359788	1512	1525
2006	49.787789748612	3063	1525
2006	22.897897897897	6660	1525
2006	29.304381245196	5204	1525
2006	11.91685551301	12797	1525
2006	46.522269676632	3278	1525
2006	2.993232691306	7684	230
2006	5.515587529976	4170	230
2006	2.32370175793	9898	230
2006	1.960617168186	11731	230
2006	4.088888888888	5625	230
2006	4.900916258256	4693	230
2006	15.022860875244	1531	230
2006	6.595927731574	3487	230
